strategy,symbol,rsi_low,rsi_high,rsi_len,boll_window,boll_mult,min_gap_bars,total_return,max_drawdown
meanrev,GAZP,20,70,20,30,1.5,10,-0.04637684073472037,0.04938104340798308
meanrev,GAZP,20,70,20,30,1.5,15,-0.053355845603291874,0.053355845603291874
meanrev,GAZP,20,70,20,30,1.5,20,-0.010167385498907389,0.0336664755947724
meanrev,GAZP,20,70,20,30,1.5,25,0.040714453591407684,0.03077251302612741
meanrev,GAZP,20,70,20,30,1.5,30,-0.06693597692680087,0.09222851989409275
meanrev,GAZP,20,70,20,30,2.0,10,-0.018611027688266613,0.02266376887037596
meanrev,GAZP,20,70,20,30,2.0,15,-0.018611027688266613,0.02266376887037596
meanrev,GAZP,20,70,20,30,2.0,20,0.01426944500525984,0.014775552287480577
meanrev,GAZP,20,70,20,30,2.0,25,0.07640587619774264,0.019899527144384484
meanrev,GAZP,20,70,20,30,2.0,30,-0.037785289612571105,0.07819383377717758
meanrev,GAZP,20,70,20,30,2.5,10,-0.005643011303086198,0.01896794286211417
meanrev,GAZP,20,70,20,30,2.5,15,-0.005643011303086198,0.01896794286211417
meanrev,GAZP,20,70,20,30,2.5,20,0.01621084169240561,0.01259013833180259
meanrev,GAZP,20,70,20,30,2.5,25,0.07469467133174068,0.019267831098788185
meanrev,GAZP,20,70,20,30,2.5,30,-0.03630225540500165,0.07189638133415348
meanrev,GAZP,20,75,10,14,1.5,10,-0.28775719783871656,0.29496897498489744
meanrev,GAZP,20,75,10,14,1.5,15,-0.4136818184739889,0.4233548507110632
meanrev,GAZP,20,75,10,14,1.5,20,-0.38578735980216017,0.42645464538308653
meanrev,GAZP,20,75,10,14,1.5,25,-0.30001490363529726,0.35497861974289285
meanrev,GAZP,20,75,10,14,1.5,30,-0.09433074168441558,0.23333450129805525
meanrev,GAZP,20,75,10,14,2.0,10,-0.2923853162365322,0.30245291452402934
meanrev,GAZP,20,75,10,14,2.0,15,-0.350827706889396,0.3665110147224759
meanrev,GAZP,20,75,10,14,2.0,20,-0.2953506391991173,0.34665431109671435
meanrev,GAZP,20,75,10,14,2.0,25,-0.24295235058981324,0.30357219734000795
meanrev,GAZP,20,75,10,14,2.0,30,-0.15815503010306253,0.245131530311839
meanrev,GAZP,20,75,10,14,2.5,10,-0.22970739748800406,0.24015236464950734
meanrev,GAZP,20,75,10,14,2.5,15,-0.2354474874117196,0.2522810766927494
meanrev,GAZP,20,75,10,14,2.5,20,-0.1973386567931199,0.2214793689032091
meanrev,GAZP,20,75,10,14,2.5,25,-0.2076824685014378,0.245251987563813
meanrev,GAZP,20,75,10,14,2.5,30,-0.17508938275485042,0.205790750957016
meanrev,GAZP,20,75,10,20,1.5,10,-0.15074652255181342,0.17507512604990577
meanrev,GAZP,20,75,10,20,1.5,15,-0.1696157678250355,0.18314501534393315
meanrev,GAZP,20,75,10,20,1.5,20,-0.10955986259166695,0.19243078341163883
meanrev,GAZP,20,75,10,20,1.5,25,-0.0715185704637441,0.14935856292741573
meanrev,GAZP,20,75,10,20,1.5,30,0.11111816450258138,0.13007985988555593
meanrev,GAZP,20,75,10,20,2.0,10,-0.14326966674571184,0.1969445350369058
