dt,side,conf
2022-07-29 09:50:00+00:00,-1,0.75
2022-07-29 10:10:00+00:00,1,0.75
2022-07-29 15:00:00+00:00,-1,0.75
2022-07-29 15:10:00+00:00,1,0.75
2022-08-01 11:10:00+00:00,-1,0.75
2022-08-01 11:30:00+00:00,1,0.75
2022-08-01 14:10:00+00:00,-1,0.75
2022-08-03 10:20:00+00:00,1,0.75
2022-08-03 12:10:00+00:00,-1,0.75
2022-08-04 16:50:00+00:00,1,0.75
2022-08-05 10:40:00+00:00,-1,0.75
2022-08-08 09:50:00+00:00,1,0.75
2022-08-08 13:40:00+00:00,-1,0.75
2022-08-08 14:30:00+00:00,1,0.75
2022-08-08 15:30:00+00:00,-1,0.75
2022-08-08 16:40:00+00:00,1,0.75
2022-08-08 16:50:00+00:00,-1,0.75
2022-08-09 12:50:00+00:00,1,0.75
2022-08-10 13:50:00+00:00,-1,0.75
2022-08-11 10:00:00+00:00,1,0.75
2022-08-11 11:10:00+00:00,-1,0.75
2022-08-11 15:50:00+00:00,1,0.75
2022-08-11 17:30:00+00:00,-1,0.75
2022-08-12 16:50:00+00:00,1,0.75
2022-08-12 17:10:00+00:00,-1,0.75
2022-08-15 10:00:00+00:00,1,0.75
2022-08-15 13:30:00+00:00,-1,0.75
2022-08-15 16:40:00+00:00,1,0.75
2022-08-17 10:40:00+00:00,-1,0.75
2022-08-17 13:40:00+00:00,1,0.75
2022-08-17 14:20:00+00:00,-1,0.75
2022-08-17 17:30:00+00:00,1,0.75
2022-08-18 10:10:00+00:00,-1,0.75
2022-08-18 10:40:00+00:00,1,0.75
2022-08-18 11:00:00+00:00,-1,0.75
2022-08-18 18:00:00+00:00,1,0.75
2022-08-18 18:10:00+00:00,-1,0.75
2022-08-18 18:20:00+00:00,1,0.75
2022-08-19 10:00:00+00:00,-1,0.75
2022-08-19 14:10:00+00:00,1,0.75
2022-08-22 15:50:00+00:00,-1,0.75
2022-08-22 18:40:00+00:00,1,0.75
2022-08-23 15:20:00+00:00,-1,0.75
2022-08-23 16:10:00+00:00,1,0.75
2022-08-23 16:20:00+00:00,-1,0.75
2022-08-24 09:50:00+00:00,1,0.75
2022-08-24 10:10:00+00:00,-1,0.75
2022-08-25 10:00:00+00:00,1,0.75
2022-08-25 14:30:00+00:00,-1,0.75
2022-08-25 17:40:00+00:00,1,0.75
2022-08-25 17:50:00+00:00,-1,0.75
2022-08-25 18:30:00+00:00,1,0.75
2022-08-26 10:00:00+00:00,-1,0.75
2022-08-26 15:50:00+00:00,1,0.75
2022-08-30 15:20:00+00:00,-1,0.75
2022-08-30 18:40:00+00:00,1,0.75
2022-09-01 10:10:00+00:00,-1,0.75
2022-09-01 11:50:00+00:00,1,0.75
2022-09-02 15:50:00+00:00,-1,0.75
2022-09-05 10:00:00+00:00,1,0.75
2022-09-05 10:10:00+00:00,-1,0.75
2022-09-05 13:40:00+00:00,1,0.75
2022-09-05 13:50:00+00:00,-1,0.75
2022-09-05 14:30:00+00:00,1,0.75
2022-09-06 14:10:00+00:00,-1,0.75
2022-09-07 12:40:00+00:00,1,0.75
2022-09-07 14:10:00+00:00,-1,0.75
2022-09-07 15:10:00+00:00,1,0.75
2022-09-07 16:10:00+00:00,-1,0.75
2022-09-08 18:00:00+00:00,1,0.75
2022-09-12 14:10:00+00:00,-1,0.75
2022-09-12 14:50:00+00:00,1,0.75
2022-09-12 15:00:00+00:00,-1,0.75
2022-09-12 22:10:00+00:00,1,0.75
2022-09-13 10:30:00+00:00,-1,0.75
2022-09-13 12:50:00+00:00,1,0.75
2022-09-13 13:10:00+00:00,-1,0.75
2022-09-13 13:20:00+00:00,1,0.75
2022-09-13 14:00:00+00:00,-1,0.75
2022-09-14 16:50:00+00:00,1,0.75
2022-09-15 13:10:00+00:00,-1,0.75
2022-09-15 15:00:00+00:00,1,0.75
2022-09-15 16:40:00+00:00,-1,0.75
2022-09-15 21:10:00+00:00,1,0.75
2022-09-15 22:00:00+00:00,-1,0.75
2022-09-16 10:00:00+00:00,1,0.75
2022-09-16 13:50:00+00:00,-1,0.75
2022-09-16 19:00:00+00:00,1,0.75
2022-09-16 19:10:00+00:00,-1,0.75
2022-09-16 19:30:00+00:00,1,0.75
2022-09-19 10:20:00+00:00,-1,0.75
2022-09-19 10:40:00+00:00,1,0.75
2022-09-19 11:00:00+00:00,-1,0.75
2022-09-19 15:00:00+00:00,1,0.75
2022-09-19 15:40:00+00:00,-1,0.75
2022-09-19 22:50:00+00:00,1,0.75
2022-09-19 23:10:00+00:00,-1,0.75
2022-09-19 23:30:00+00:00,1,0.75
2022-09-20 09:50:00+00:00,-1,0.75
2022-09-20 21:30:00+00:00,1,0.75
2022-09-20 23:10:00+00:00,-1,0.75
2022-09-21 17:00:00+00:00,1,0.75
2022-09-21 17:40:00+00:00,-1,0.75
2022-09-21 18:30:00+00:00,1,0.75
2022-09-21 18:40:00+00:00,-1,0.75
2022-09-21 19:50:00+00:00,1,0.75
2022-09-21 23:40:00+00:00,-1,0.75
2022-09-22 10:00:00+00:00,1,0.75
2022-09-22 13:20:00+00:00,-1,0.75
2022-09-22 15:30:00+00:00,1,0.75
2022-09-22 16:50:00+00:00,-1,0.75
2022-09-22 23:30:00+00:00,1,0.75
2022-09-23 10:00:00+00:00,-1,0.75
2022-09-26 16:00:00+00:00,1,0.75
2022-09-26 18:40:00+00:00,-1,0.75
2022-09-26 19:10:00+00:00,1,0.75
2022-09-26 19:30:00+00:00,-1,0.75
2022-09-27 10:00:00+00:00,1,0.75
2022-09-27 12:30:00+00:00,-1,0.75
2022-09-27 17:40:00+00:00,1,0.75
2022-09-27 19:30:00+00:00,-1,0.75
2022-09-27 20:10:00+00:00,1,0.75
2022-09-28 12:50:00+00:00,-1,0.75
2022-09-28 22:10:00+00:00,1,0.75
2022-09-29 10:10:00+00:00,-1,0.75
2022-09-29 19:00:00+00:00,1,0.75
2022-09-29 21:40:00+00:00,-1,0.75
2022-09-29 23:30:00+00:00,1,0.75
2022-09-30 10:40:00+00:00,-1,0.75
2022-09-30 12:40:00+00:00,1,0.75
2022-09-30 13:00:00+00:00,-1,0.75
2022-09-30 15:20:00+00:00,1,0.75
2022-09-30 17:40:00+00:00,-1,0.75
2022-09-30 18:00:00+00:00,1,0.75
2022-10-03 10:20:00+00:00,-1,0.75
2022-10-03 12:40:00+00:00,1,0.75
2022-10-04 10:40:00+00:00,-1,0.75
2022-10-04 14:40:00+00:00,1,0.75
2022-10-04 15:40:00+00:00,-1,0.75
2022-10-04 16:40:00+00:00,1,0.75
2022-10-04 17:30:00+00:00,-1,0.75
2022-10-04 19:00:00+00:00,1,0.75
2022-10-05 09:50:00+00:00,-1,0.75
2022-10-05 16:10:00+00:00,1,0.75
2022-10-05 20:40:00+00:00,-1,0.75
2022-10-06 10:00:00+00:00,1,0.75
2022-10-06 10:50:00+00:00,-1,0.75
2022-10-06 11:30:00+00:00,1,0.75
2022-10-06 11:50:00+00:00,-1,0.75
2022-10-06 12:00:00+00:00,1,0.75
2022-10-06 12:30:00+00:00,-1,0.75
2022-10-06 19:10:00+00:00,1,0.75
2022-10-06 19:40:00+00:00,-1,0.75
2022-10-06 21:10:00+00:00,1,0.75
2022-10-06 21:20:00+00:00,-1,0.75
2022-10-06 21:30:00+00:00,1,0.75
2022-10-06 22:20:00+00:00,-1,0.75
2022-10-06 23:00:00+00:00,1,0.75
2022-10-07 09:50:00+00:00,-1,0.75
2022-10-07 14:50:00+00:00,1,0.75
2022-10-07 15:30:00+00:00,-1,0.75
2022-10-10 11:00:00+00:00,1,0.75
2022-10-10 12:10:00+00:00,-1,0.75
2022-10-10 13:30:00+00:00,1,0.75
2022-10-11 10:30:00+00:00,-1,0.75
2022-10-11 11:30:00+00:00,1,0.75
2022-10-11 12:30:00+00:00,-1,0.75
2022-10-11 12:40:00+00:00,1,0.75
2022-10-11 15:50:00+00:00,-1,0.75
2022-10-11 16:30:00+00:00,1,0.75
2022-10-11 22:40:00+00:00,-1,0.75
2022-10-12 09:50:00+00:00,1,0.75
2022-10-12 10:00:00+00:00,-1,0.75
2022-10-12 13:30:00+00:00,1,0.75
2022-10-12 17:30:00+00:00,-1,0.75
2022-10-13 11:30:00+00:00,1,0.75
2022-10-13 15:10:00+00:00,-1,0.75
2022-10-13 23:20:00+00:00,1,0.75
2022-10-13 23:30:00+00:00,-1,0.75
2022-10-14 09:50:00+00:00,1,0.75
2022-10-14 10:00:00+00:00,-1,0.75
2022-10-14 16:10:00+00:00,1,0.75
2022-10-18 10:30:00+00:00,-1,0.75
2022-10-18 12:40:00+00:00,1,0.75
2022-10-18 14:30:00+00:00,-1,0.75
2022-10-18 16:00:00+00:00,1,0.75
2022-10-18 21:00:00+00:00,-1,0.75
2022-10-19 15:00:00+00:00,1,0.75
2022-10-19 17:10:00+00:00,-1,0.75
2022-10-19 19:00:00+00:00,1,0.75
2022-10-19 22:30:00+00:00,-1,0.75
2022-10-19 23:20:00+00:00,1,0.75
2022-10-20 15:50:00+00:00,-1,0.75
2022-10-20 17:30:00+00:00,1,0.75
2022-10-20 18:00:00+00:00,-1,0.75
2022-10-20 23:20:00+00:00,1,0.75
2022-10-20 23:40:00+00:00,-1,0.75
2022-10-21 14:50:00+00:00,1,0.75
2022-10-24 12:10:00+00:00,-1,0.75
2022-10-24 16:00:00+00:00,1,0.75
2022-10-24 17:20:00+00:00,-1,0.75
2022-10-24 20:30:00+00:00,1,0.75
2022-10-24 22:20:00+00:00,-1,0.75
2022-10-25 11:40:00+00:00,1,0.75
2022-10-25 21:20:00+00:00,-1,0.75
2022-10-25 21:30:00+00:00,1,0.75
2022-10-26 10:10:00+00:00,-1,0.75
2022-10-26 11:10:00+00:00,1,0.75
2022-10-26 12:40:00+00:00,-1,0.75
2022-10-26 19:30:00+00:00,1,0.75
2022-10-26 22:00:00+00:00,-1,0.75
2022-10-27 09:50:00+00:00,1,0.75
2022-10-27 14:10:00+00:00,-1,0.75
2022-10-27 17:10:00+00:00,1,0.75
